,nationality,total_guests
0,Indonesia,16575
1,Egypt,45
2,Brunei,44
3,Bouvet island (bouvetoya),45
4,Saint lucia,27
5,Philippines,37
6,Nicaragua,39
7,Nigeria,29
8,Denmark,102
9,Eritrea,36
10,Norway,30
11,South Korea,66
12,New Zealand,134
13,China,106
14,France,274
15,Cote d'Ivoire,34
16,Oman,34
17,Wallis and futuna,33
18,Saint kitts and nevis,37
19,Yemen,29
20,United States,134
21,French southern territories,33
22,Maldives,26
23,North macedonia,25
24,Singapore,35
25,Armenia,36
26,Ukraine,27
27,Brazil,37
28,Argentina,34
29,Heard island and mcdonald islands,37
30,Vanuatu,40
31,Slovenia,33
32,Suriname,25
33,Tunisia,31
34,Malaysia,47
35,Sudan,36
36,Finland,38
37,Cuba,30
38,Hungary,32
39,Qatar,31
40,Cambodia,33
41,Saint helena,31
42,Tuvalu,40
43,Mozambique,44
44,Zambia,32
45,Comoros,34
46,Portugal,43
47,Central african republic,33
48,Cocos (keeling) islands,44
49,Luxembourg,42
50,Equatorial guinea,33
51,Turkey,30
52,Bulgaria,35
53,San marino,36
54,Kenya,33
55,Serbia,28
56,Ecuador,43
57,Romania,34
58,Iran,24
59,Burundi,40
60,Gambia,33
61,Sao tome and principe,28
62,Cameroon,39
63,Mauritania,27
64,Guatemala,26
65,Azerbaijan,42
66,Cape Verde,36
67,Sweden,31
68,Jamaica,42
69,Canada,36
70,Venezuela,33
71,Albania,32
72,Slovakia,31
73,Turks and caicos islands,38
74,Pitcairn islands,42
75,Uganda,34
76,United states minor outlying islands,33
77,Mali,35
78,Estonia,36
79,Poland,34
80,Holy see (vatican city state),23
81,Ireland,42
82,Senegal,35
83,Moldova,49
84,Trinidad and tobago,30
85,Tanzania,36
86,Micronesia,27
87,Kuwait,41
88,Malawi,35
89,Togo,28
90,Saint barthelemy,29
91,Dominican republic,24
92,Mauritius,32
93,Rwanda,22
94,Svalbard & jan mayen islands,44
95,Algeria,29
96,India,33
97,Grenada,31
98,Paraguay,41
99,Malta,27
100,Andorra,28
101,Anguilla,41
102,Germany,30
103,Italy,28
104,Kyrgyz republic,23
105,Djibouti,28
106,Guinea,31
107,Libya,34
108,Gabon,32
109,Thailand,34
110,Namibia,35
111,Belize,35
112,Afghanistan,33
113,Liechtenstein,23
114,Saint martin,33
115,Samoa,25
116,Mexico,32
117,Bhutan,34
118,Laos,29
119,Niger,45
120,Northern mariana islands,29
121,Benin,29
122,Georgia,33
123,Sierra leone,31
124,Panama,39
125,Taiwan,31
126,Palestinian territory,29
127,Dominica,30
128,Kiribati,35
129,Australia,112
130,Mongolia,36
131,Haiti,32
132,Syria,36
133,Kazakhstan,38
134,Uzbekistan,45
135,United Kingdom,283
136,Seychelles,41
137,Palau,26
138,Zimbabwe,36
139,Timor-leste,27
140,Belgium,35
141,Bangladesh,24
142,Angola,30
143,Congo,61
144,Netherlands,102
145,Bosnia and herzegovina,36
146,Montenegro,41
147,Sri lanka,30
148,Morocco,37
149,Botswana,35
150,Western sahara,36
151,Uruguay,42
152,Antigua and barbuda,39
153,Greece,38
154,Somalia,45
155,Peru,38
156,Latvia,28
157,Croatia,31
158,Switzerland,32
159,Lebanon,32
160,Bolivia,30
161,Eswatini,42
162,Belarus,41
163,Antarctica (the territory south of 60 deg s),35
164,Bahrain,37
165,Pakistan,29
166,Chad,27
167,Fiji,31
168,Honduras,30
169,Nauru,24
170,South georgia and the south sandwich islands,41
171,Japan,33
172,Colombia,41
173,Bahamas,37
174,Falkland islands (malvinas),35
175,Tajikistan,31
176,Cyprus,26
177,Tonga,30
178,United states virgin islands,27
179,Ghana,32
180,Papua new guinea,47
181,Lesotho,34
182,Jordan,44
183,Barbados,41
184,Turkmenistan,29
185,Madagascar,29
186,Costa rica,33
187,Vietnam,37
188,Lithuania,44
189,Czech Republic,41
190,Saint vincent and the grenadines,33
191,El salvador,35
192,Burkina faso,27
193,Ethiopia,35
194,Liberia,32
195,Guinea-bissau,38
196,Austria,31
197,Chile,24
198,Montserrat,27
199,British virgin islands,24
200,Solomon islands,39
201,Russia,32
202,Spain,39
203,United Arab Emirates,37
204,Nepal,32
205,Mayotte,37
206,Myanmar,40
207,Guyana,29
208,Iraq,30
209,Iceland,32
210,Monaco,36
211,South africa,35
212,Marshall islands,38
213,Saudi arabia,40
214,Israel,23
